task,train-size,skill
argument_generation_argu_saha23,3000,generation
argument_ranking_claim_revisions_skitalinskaya23,3000,quality-assessment
argument_ranking_ibm_evidence_quality_gleize19,3000,quality-assessment
argument_rating_gaq_ng20,3000,quality-assessment
argument_relation_identification_erulemaking_park18,626,mining
argument_relation_identification_essays_stab17,3000,mining
argument_relation_identification_microtexts_1_peldzus15,279,mining
argument_relation_identification_political_debates_menini18,886,mining
argument_summarization_open_debate_evidence_roush23,3000,generation
argument_unit_classification_editorials_alkhatib16,3000,mining
argument_unit_classification_erulemaking_park16,2902,mining
argument_unit_classification_essays_stab17,3000,mining
argument_unit_segmentation_essays_ajjour17,566,mining
argument_unit_segmentation_editorials_ajjour17,1188,mining
aspect_detection_ukp_corpus_schiller21,3000,perspective-assessment
claim_optimization_claim_revisions_skitalinskaya23,3000,generation
conclusion_generation_belief_generation_alshomary21,3000,generation
controversy_scoring_cmv_adhominem_habernal18,1080,quality-assessment
reasonableness_scoring_cmv_adhominem_habernal18,1080,quality-assessment
counter_argument_generation_candela_hua19,3000,generation
fallacy_detection_elecdeb60t020_goffredo23,1238,reasoning
frame_identification_webis_argument_framing_19_ajjour19,3000,perspective-assessment
key_point_matching_argkp_barhaim21,3000,perspective-assessment
premise_extraction_ibm_evidence_sentence_eindor20,3000,mining
scheme_classification_argu_saha23,790,reasoning
stance_classification_ibmsc_barhaim17,766,perspective-assessment
suboptimal_claim_detection_claim_revisions_skitalinskaya23,3000,quality-assessment
claim_improvement_suggestion_claim_revisions_skitalinskaya23,3000,quality-assessment
warrant_generation_arc_chakarbarty21,845,generation
warrant_generation_ideological_debate_chakarbarty21,60,generation
warrant_generation_microtext_1_chakarbarty21,66,generation
warrant_identification_semeval_2018_task_12_habernal18,1210,reasoning
argument_unit_segmentation_echr_poudyal20,1531,mining
conclusion_extraction_echr_poudyal20,3000,mining
premise_extraction_echr_poudyal20,3000,mining
argument_relation_detection_echr_poudyal20,3000,mining
warrant_generation_art_chakarbarty21,3000,generation
argument_relation_identification_microtexts_2_skeppstedt18,464,mining
stance_classification_ukp_sentential_stab18,3000,perspective-assessment
fallacy_detection_logic_jin22,1849,reasoning
argument_ranking_ibm_rank_30k_gretz20,3000,quality-assessment
counter_argument_generation_cmv_hua18,3000,generation
argument_rating_dagstuhl_15512_wachsmuth17,2670,quality-assessment
argument_unit_segmentation_webDiscourse_ajjour17,393,mining
argument_similarity_ukp_aspect_reimers19,2067,perspective-assessment
fallacy_detection_cmv_adhominem_habernal18,3000,reasoning
