test_task,score
argument_relation_identification_erulemaking_park18,0.3604
argument_relation_identification_essays_stab17,0.4435
argument_relation_identification_microtexts_2_skeppstedt18,0.4646
argument_relation_identification_microtexts_1_peldzus15,0.5701
argument_unit_classification_editorials_alkhatib16,0.1845
argument_relation_identification_political_debates_menini18,0.3298
argument_unit_classification_essays_stab17,0.4282
argument_unit_classification_erulemaking_park16,0.1796
premise_extraction_ibm_evidence_sentence_eindor20,0.4253
argument_relation_detection_echr_poudyal20,0.4176
argument_unit_segmentation_echr_poudyal20,0.1142
conclusion_extraction_echr_poudyal20,0.34
argument_unit_segmentation_essays_ajjour17,0.2353
argument_unit_segmentation_webDiscourse_ajjour17,0.1973
premise_extraction_echr_poudyal20,0.3495
argument_unit_segmentation_editorials_ajjour17,0.3176
