test_task,score
argument_relation_identification_erulemaking_park18,0.1491
argument_relation_identification_microtexts_1_peldzus15,0.2761
argument_relation_identification_political_debates_menini18,0.2531
argument_relation_identification_microtexts_2_skeppstedt18,0.278
argument_unit_classification_erulemaking_park16,0.0895
argument_unit_classification_editorials_alkhatib16,0.0262
premise_extraction_ibm_evidence_sentence_eindor20,0.4272
argument_unit_segmentation_editorials_ajjour17,0.0507
argument_unit_segmentation_essays_ajjour17,0.0845
argument_unit_classification_essays_stab17,0.353
argument_relation_detection_echr_poudyal20,0.4287
conclusion_extraction_echr_poudyal20,0.4523
premise_extraction_echr_poudyal20,0.4714
argument_unit_segmentation_echr_poudyal20,0.0
argument_relation_identification_essays_stab17,0.323
argument_unit_segmentation_webDiscourse_ajjour17,0.0479
