test_task,score
counter_argument_generation_cmv_hua18,0.4466
conclusion_generation_belief_generation_alshomary21,0.4358
counter_argument_generation_candela_hua19,0.4526
argument_summarization_open_debate_evidence_roush23,0.4319
argument_generation_argu_saha23,0.5097
claim_optimization_claim_revisions_skitalinskaya23,0.7689
warrant_generation_ideological_debate_chakarbarty21,0.3476
warrant_generation_arc_chakarbarty21,0.4708
warrant_generation_art_chakarbarty21,0.4907
warrant_generation_microtext_1_chakarbarty21,0.4941
