test_task,score
conclusion_generation_belief_generation_alshomary21,0.4467
counter_argument_generation_candela_hua19,0.456
counter_argument_generation_cmv_hua18,0.455
claim_optimization_claim_revisions_skitalinskaya23,0.7894
argument_generation_argu_saha23,0.5317
warrant_generation_ideological_debate_chakarbarty21,0.3805
warrant_generation_microtext_1_chakarbarty21,0.5002
argument_summarization_open_debate_evidence_roush23,0.4364
warrant_generation_art_chakarbarty21,0.49
warrant_generation_arc_chakarbarty21,0.4798
