test_task,score
argument_relation_identification_erulemaking_park18,0.1231
argument_relation_identification_microtexts_1_peldzus15,0.2761
argument_relation_identification_political_debates_menini18,0.2598
argument_relation_identification_microtexts_2_skeppstedt18,0.278
argument_unit_classification_erulemaking_park16,0.164
argument_unit_classification_editorials_alkhatib16,0.0524
premise_extraction_ibm_evidence_sentence_eindor20,0.427
argument_unit_segmentation_editorials_ajjour17,0.0563
argument_unit_segmentation_essays_ajjour17,0.0678
argument_unit_classification_essays_stab17,0.3582
argument_relation_detection_echr_poudyal20,0.4414
conclusion_extraction_echr_poudyal20,0.4643
premise_extraction_echr_poudyal20,0.4624
argument_unit_segmentation_echr_poudyal20,0.0
argument_relation_identification_essays_stab17,0.3365
argument_unit_segmentation_webDiscourse_ajjour17,0.036
