test_task,score
argument_relation_identification_erulemaking_park18,0.3273
argument_relation_identification_microtexts_1_peldzus15,0.5631
argument_relation_identification_political_debates_menini18,0.3055
argument_relation_identification_microtexts_2_skeppstedt18,0.5714
argument_unit_classification_erulemaking_park16,0.1508
argument_unit_classification_editorials_alkhatib16,0.0901
premise_extraction_ibm_evidence_sentence_eindor20,0.4447
argument_unit_segmentation_editorials_ajjour17,0.477
argument_unit_segmentation_essays_ajjour17,0.2553
argument_unit_classification_essays_stab17,0.3265
argument_relation_detection_echr_poudyal20,0.4301
conclusion_extraction_echr_poudyal20,0.3628
premise_extraction_echr_poudyal20,0.3314
argument_unit_segmentation_echr_poudyal20,0.3581
argument_relation_identification_essays_stab17,0.4802
argument_unit_segmentation_webDiscourse_ajjour17,0.2811
