test_task,score
argument_relation_identification_erulemaking_park18,0.492
argument_relation_identification_microtexts_1_peldzus15,0.2707
argument_relation_identification_political_debates_menini18,0.2305
argument_relation_identification_microtexts_2_skeppstedt18,0.2746
argument_unit_classification_erulemaking_park16,0.2296
argument_unit_classification_editorials_alkhatib16,0.2116
premise_extraction_ibm_evidence_sentence_eindor20,0.5732
argument_unit_segmentation_editorials_ajjour17,0.4179
argument_unit_segmentation_essays_ajjour17,0.1485
argument_unit_classification_essays_stab17,0.3408
argument_relation_detection_echr_poudyal20,0.1357
conclusion_extraction_echr_poudyal20,0.4947
premise_extraction_echr_poudyal20,0.498
argument_unit_segmentation_echr_poudyal20,0.0
argument_relation_identification_essays_stab17,0.3013
argument_unit_segmentation_webDiscourse_ajjour17,0.1367
