test_task,score
argument_relation_identification_erulemaking_park18,0.5559
argument_relation_identification_essays_stab17,0.6766
argument_relation_identification_microtexts_2_skeppstedt18,0.4981
argument_relation_identification_microtexts_1_peldzus15,0.7235
argument_unit_classification_editorials_alkhatib16,0.3462
argument_relation_identification_political_debates_menini18,0.2716
argument_unit_classification_essays_stab17,0.4054
argument_unit_classification_erulemaking_park16,0.3696
premise_extraction_ibm_evidence_sentence_eindor20,0.2851
argument_relation_detection_echr_poudyal20,0.1019
argument_unit_segmentation_echr_poudyal20,0.1945
conclusion_extraction_echr_poudyal20,0.1499
argument_unit_segmentation_essays_ajjour17,0.293
argument_unit_segmentation_webDiscourse_ajjour17,0.213
premise_extraction_echr_poudyal20,0.0511
argument_unit_segmentation_editorials_ajjour17,0.4808
