test_task,score
argument_relation_identification_erulemaking_park18,0.2294
argument_relation_identification_microtexts_1_peldzus15,0.6156
argument_relation_identification_political_debates_menini18,0.3653
argument_relation_identification_microtexts_2_skeppstedt18,0.6574
argument_unit_classification_erulemaking_park16,0.1939
argument_unit_classification_editorials_alkhatib16,0.0825
premise_extraction_ibm_evidence_sentence_eindor20,0.1721
argument_unit_segmentation_editorials_ajjour17,0.4432
argument_unit_segmentation_essays_ajjour17,0.2728
argument_unit_classification_essays_stab17,0.4303
argument_relation_detection_echr_poudyal20,0.1289
conclusion_extraction_echr_poudyal20,0.0887
premise_extraction_echr_poudyal20,0.0199
argument_unit_segmentation_echr_poudyal20,0.2566
argument_relation_identification_essays_stab17,0.609
argument_unit_segmentation_webDiscourse_ajjour17,0.2535
