test_task,score
conclusion_generation_belief_generation_alshomary21,0.4166
counter_argument_generation_candela_hua19,0.411
counter_argument_generation_cmv_hua18,0.4186
claim_optimization_claim_revisions_skitalinskaya23,0.4653
argument_generation_argu_saha23,0.4403
warrant_generation_ideological_debate_chakarbarty21,0.3561
warrant_generation_microtext_1_chakarbarty21,0.4514
argument_summarization_open_debate_evidence_roush23,0.4164
warrant_generation_art_chakarbarty21,0.4372
warrant_generation_arc_chakarbarty21,0.4404
