test_task,score
argument_relation_identification_erulemaking_park18,0.3327
argument_relation_identification_microtexts_1_peldzus15,0.4914
argument_relation_identification_political_debates_menini18,0.3264
argument_relation_identification_microtexts_2_skeppstedt18,0.4331
argument_unit_classification_erulemaking_park16,0.1643
argument_unit_classification_editorials_alkhatib16,0.0911
premise_extraction_ibm_evidence_sentence_eindor20,0.4231
argument_unit_segmentation_editorials_ajjour17,0.0151
argument_unit_segmentation_essays_ajjour17,0.0139
argument_unit_classification_essays_stab17,0.2899
argument_relation_detection_echr_poudyal20,0.2915
conclusion_extraction_echr_poudyal20,0.3919
premise_extraction_echr_poudyal20,0.3921
argument_unit_segmentation_echr_poudyal20,0.0
argument_relation_identification_essays_stab17,0.3875
argument_unit_segmentation_webDiscourse_ajjour17,0.0084
