test_task,score
argument_relation_identification_erulemaking_park18,0.4955
argument_relation_identification_microtexts_1_peldzus15,0.6171
argument_relation_identification_political_debates_menini18,0.231
argument_relation_identification_microtexts_2_skeppstedt18,0.6822
argument_unit_classification_erulemaking_park16,0.285
argument_unit_classification_editorials_alkhatib16,0.2469
premise_extraction_ibm_evidence_sentence_eindor20,0.4653
argument_unit_segmentation_editorials_ajjour17,0.4448
argument_unit_segmentation_essays_ajjour17,0.3141
argument_unit_classification_essays_stab17,0.4912
argument_relation_detection_echr_poudyal20,0.144
conclusion_extraction_echr_poudyal20,0.4834
premise_extraction_echr_poudyal20,0.2526
argument_unit_segmentation_echr_poudyal20,0.2759
argument_relation_identification_essays_stab17,0.6881
argument_unit_segmentation_webDiscourse_ajjour17,0.1975
