test_task,score
counter_argument_generation_cmv_hua18,0.4248
conclusion_generation_belief_generation_alshomary21,0.4116
counter_argument_generation_candela_hua19,0.4132
argument_summarization_open_debate_evidence_roush23,0.4076
argument_generation_argu_saha23,0.4538
claim_optimization_claim_revisions_skitalinskaya23,0.5216
warrant_generation_ideological_debate_chakarbarty21,0.3513
warrant_generation_arc_chakarbarty21,0.4301
warrant_generation_art_chakarbarty21,0.4307
warrant_generation_microtext_1_chakarbarty21,0.4404
