test_task,score
argument_relation_identification_erulemaking_park18,0.4384
argument_relation_identification_microtexts_1_peldzus15,0.7283
argument_relation_identification_political_debates_menini18,0.2147
argument_relation_identification_microtexts_2_skeppstedt18,0.6584
argument_unit_classification_erulemaking_park16,0.3018
argument_unit_classification_editorials_alkhatib16,0.3464
premise_extraction_ibm_evidence_sentence_eindor20,0.3085
argument_unit_segmentation_editorials_ajjour17,0.4823
argument_unit_segmentation_essays_ajjour17,0.248
argument_unit_classification_essays_stab17,0.5304
argument_relation_detection_echr_poudyal20,0.1469
conclusion_extraction_echr_poudyal20,0.1672
premise_extraction_echr_poudyal20,0.039
argument_unit_segmentation_echr_poudyal20,0.3911
argument_relation_identification_essays_stab17,0.6787
argument_unit_segmentation_webDiscourse_ajjour17,0.2496
