test_task,score
argument_relation_identification_erulemaking_park18,0.3465
argument_relation_identification_microtexts_1_peldzus15,0.4895
argument_relation_identification_political_debates_menini18,0.3221
argument_relation_identification_microtexts_2_skeppstedt18,0.4861
argument_unit_classification_erulemaking_park16,0.1568
argument_unit_classification_editorials_alkhatib16,0.1521
premise_extraction_ibm_evidence_sentence_eindor20,0.4158
argument_unit_segmentation_editorials_ajjour17,0.3331
argument_unit_segmentation_essays_ajjour17,0.1993
argument_unit_classification_essays_stab17,0.3002
argument_relation_detection_echr_poudyal20,0.441
conclusion_extraction_echr_poudyal20,0.3444
premise_extraction_echr_poudyal20,0.34
argument_unit_segmentation_echr_poudyal20,0.0
argument_relation_identification_essays_stab17,0.3968
argument_unit_segmentation_webDiscourse_ajjour17,0.1855
