test_task,score
conclusion_generation_belief_generation_alshomary21,0.4412
counter_argument_generation_candela_hua19,0.413
counter_argument_generation_cmv_hua18,0.4404
claim_optimization_claim_revisions_skitalinskaya23,0.789
argument_generation_argu_saha23,0.4759
warrant_generation_ideological_debate_chakarbarty21,0.4534
warrant_generation_microtext_1_chakarbarty21,0.4773
argument_summarization_open_debate_evidence_roush23,0.4291
warrant_generation_art_chakarbarty21,0.4782
warrant_generation_arc_chakarbarty21,0.4724
