test_task,score
argument_relation_identification_erulemaking_park18,0.6975
argument_relation_identification_essays_stab17,0.661
argument_relation_identification_microtexts_2_skeppstedt18,0.5089
argument_relation_identification_microtexts_1_peldzus15,0.6966
argument_unit_classification_editorials_alkhatib16,0.3259
argument_relation_identification_political_debates_menini18,0.2898
argument_unit_classification_essays_stab17,0.3488
argument_unit_classification_erulemaking_park16,0.3976
premise_extraction_ibm_evidence_sentence_eindor20,0.3322
argument_relation_detection_echr_poudyal20,0.1161
argument_unit_segmentation_echr_poudyal20,0.2049
conclusion_extraction_echr_poudyal20,0.1076
argument_unit_segmentation_essays_ajjour17,0.254
argument_unit_segmentation_webDiscourse_ajjour17,0.1742
premise_extraction_echr_poudyal20,0.0477
argument_unit_segmentation_editorials_ajjour17,0.5078
